date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:31:40	1214/1214	---M--	200	added ('OK')	image/gif	etag:%224d6c67d8-4be%22	http://edu.nstu.ru/courses/saod/images/Image22.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/Image22.gif	(from http://edu.nstu.ru/courses/saod/effectivnost.htm)
21:31:40	2522/2522	---M--	200	added ('OK')	image/gif	etag:%224d6c67d8-9da%22	http://edu.nstu.ru/courses/saod/images/Image23.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/Image23.gif	(from http://edu.nstu.ru/courses/saod/effectivnost.htm)
21:31:40	338/338	---M--	200	added ('OK')	image/gif	etag:%224d6c67d8-152%22	http://edu.nstu.ru/courses/saod/images/Image23_1.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/Image23_1.gif	(from http://edu.nstu.ru/courses/saod/effectivnost.htm)
21:31:40	431/431	---M--	200	added ('OK')	image/gif	etag:%224d6c67d8-1af%22	http://edu.nstu.ru/courses/saod/images/Image23_2.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/Image23_2.gif	(from http://edu.nstu.ru/courses/saod/effectivnost.htm)
21:31:40	535/535	---M--	200	added ('OK')	image/gif	etag:%224d6c67d8-217%22	http://edu.nstu.ru/courses/saod/images/Image23_3.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/Image23_3.gif	(from http://edu.nstu.ru/courses/saod/effectivnost.htm)
21:31:41	525/525	---M--	200	added ('OK')	image/gif	etag:%224d6c62f8-20d%22	http://edu.nstu.ru/courses/saod/_derived/sort_princ.htm_cmp_my010_bnr.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_derived/sort_princ.htm_cmp_my010_bnr.gif	(from http://edu.nstu.ru/courses/saod/sort_princ.htm)
21:31:41	700/700	---M--	200	added ('OK')	image/gif	etag:%224d6c62f8-2bc%22	http://edu.nstu.ru/courses/saod/_derived/sort_ins.htm_cmp_my010_bnr.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_derived/sort_ins.htm_cmp_my010_bnr.gif	(from http://edu.nstu.ru/courses/saod/sort_ins.htm)
21:31:41	2817/2817	---M--	200	added ('OK')	image/gif	etag:%224d6c67fc-b01%22	http://edu.nstu.ru/courses/saod/images/sort_insertion.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/sort_insertion.gif	(from http://edu.nstu.ru/courses/saod/sort_ins.htm)
21:31:42	658/658	---M--	200	added ('OK')	image/gif	etag:%224d6c62f8-292%22	http://edu.nstu.ru/courses/saod/_derived/sort_exch.htm_cmp_my010_bnr.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_derived/sort_exch.htm_cmp_my010_bnr.gif	(from http://edu.nstu.ru/courses/saod/sort_exch.htm)
21:31:42	2681/2681	---M--	200	added ('OK')	image/gif	etag:%224d6c67fb-a79%22	http://edu.nstu.ru/courses/saod/images/sort_bubble.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/sort_bubble.gif	(from http://edu.nstu.ru/courses/saod/sort_exch.htm)
21:31:42	662/662	---M--	200	added ('OK')	image/gif	etag:%224d6c62f8-296%22	http://edu.nstu.ru/courses/saod/_derived/sort_select.htm_cmp_my010_bnr.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_derived/sort_select.htm_cmp_my010_bnr.gif	(from http://edu.nstu.ru/courses/saod/sort_select.htm)
21:31:42	3317/3317	---M--	200	added ('OK')	image/gif	etag:%224d6c6803-cf5%22	http://edu.nstu.ru/courses/saod/images/sort_selection.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/sort_selection.gif	(from http://edu.nstu.ru/courses/saod/sort_select.htm)
21:31:43	625/625	---M--	200	added ('OK')	image/gif	etag:%224d6c62f9-271%22	http://edu.nstu.ru/courses/saod/_derived/sort_shell.htm_cmp_my010_bnr.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_derived/sort_shell.htm_cmp_my010_bnr.gif	(from http://edu.nstu.ru/courses/saod/sort_shell.htm)
21:31:43	5328/5328	---M--	200	added ('OK')	image/gif	etag:%224d6c6803-14d0%22	http://edu.nstu.ru/courses/saod/images/sort_shall.GIF	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/sort_shall.gif	(from http://edu.nstu.ru/courses/saod/sort_shell.htm)
21:31:43	644/644	---M--	200	added ('OK')	image/gif	etag:%224d6c62f9-284%22	http://edu.nstu.ru/courses/saod/_derived/sort_sheker.htm_cmp_my010_bnr.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_derived/sort_sheker.htm_cmp_my010_bnr.gif	(from http://edu.nstu.ru/courses/saod/sort_sheker.htm)
21:31:44	729/729	---M--	200	added ('OK')	image/gif	etag:%224d6c62f8-2d9%22	http://edu.nstu.ru/courses/saod/_derived/sort_razdel.htm_cmp_my010_bnr.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_derived/sort_razdel.htm_cmp_my010_bnr.gif	(from http://edu.nstu.ru/courses/saod/sort_razdel.htm)
21:31:44	2575/2575	---M--	200	added ('OK')	image/gif	etag:%224d6c6802-a0f%22	http://edu.nstu.ru/courses/saod/images/sort_r1.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/sort_r1.gif	(from http://edu.nstu.ru/courses/saod/sort_razdel.htm)
21:31:44	88/88	---M--	200	added ('OK')	image/gif	etag:%224d6c67dc-58%22	http://edu.nstu.ru/courses/saod/images/l_e.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/l_e.gif	(from http://edu.nstu.ru/courses/saod/sort_razdel.htm)
21:31:44	8261/8261	---M--	200	added ('OK')	image/gif	etag:%224d6c6803-2045%22	http://edu.nstu.ru/courses/saod/images/sort_r3.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/sort_r3.gif	(from http://edu.nstu.ru/courses/saod/sort_razdel.htm)
21:31:44	87/87	---M--	200	added ('OK')	image/gif	etag:%224d6c67df-57%22	http://edu.nstu.ru/courses/saod/images/m_e.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/m_e.gif	(from http://edu.nstu.ru/courses/saod/sort_razdel.htm)
21:31:45	1375/1375	---M--	200	added ('OK')	image/gif	etag:%224d6c6803-55f%22	http://edu.nstu.ru/courses/saod/images/sort_r8.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/sort_r8.gif	(from http://edu.nstu.ru/courses/saod/sort_razdel.htm)
21:31:45	2434/2434	---M--	200	added ('OK')	image/gif	etag:%224d6c6803-982%22	http://edu.nstu.ru/courses/saod/images/sort_r9.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/sort_r9.gif	(from http://edu.nstu.ru/courses/saod/sort_razdel.htm)
21:31:45	3500/3500	---M--	200	added ('OK')	image/gif	etag:%224d6c6802-dac%22	http://edu.nstu.ru/courses/saod/images/sort_r14.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/sort_r14.gif	(from http://edu.nstu.ru/courses/saod/sort_razdel.htm)
21:31:45	1416/1416	---M--	200	added ('OK')	image/gif	etag:%224d6c6802-588%22	http://edu.nstu.ru/courses/saod/images/sort_r22.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/sort_r22.gif	(from http://edu.nstu.ru/courses/saod/sort_razdel.htm)
21:31:46	1397/1397	---M--	200	added ('OK')	image/gif	etag:%224d6c6803-575%22	http://edu.nstu.ru/courses/saod/images/sort_r23.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/images/sort_r23.gif	(from http://edu.nstu.ru/courses/saod/sort_razdel.htm)
21:31:46	743/743	---M--	200	added ('OK')	image/gif	etag:%224d6c62f8-2e7%22	http://edu.nstu.ru/courses/saod/_derived/sort_heap.htm_cmp_my010_bnr.gif	C:/saod-mirror/_mirror/edu.nstu.ru/courses/saod/_derived/sort_heap.htm_cmp_my010_bnr.gif	(from http://edu.nstu.ru/courses/saod/sort_heap.htm)
